,Dynamic Strategy V2,Equal Weight,Static 60/40 Proxy,Inverse Volatility,SPY Buy & Hold
CAGR,0.12006122371038597,0.055501995760408374,0.09597995862572573,0.025057409692185617,0.14860934389290192
Annualized Volatility,0.07558370225325607,0.08151636185189239,0.0888093550397134,0.021615801514379977,0.1390582414821329
Sharpe Ratio,1.2821550592541184,0.46159058124960084,0.8569273359914394,0.2399657350831191,0.9289394716173996
Sortino Ratio,2.439742015034207,0.672231023393576,1.1876324144559054,0.3729056796104688,1.2966005797940983
Max Drawdown,-0.0974838336554884,-0.17095304631513364,-0.2050748635571763,-0.04717118661339259,-0.2392717197111235
Calmar Ratio,1.2316013764362912,0.324662221333549,0.46802400333654665,0.5312015976522297,0.621090298813083
VaR 5%,-0.025844790847325372,-0.03570075128790636,-0.04002681937323198,-0.008575488418285893,-0.060636861580741594
CVaR 5%,-0.033634198299042135,-0.04782691348779701,-0.05143031049431658,-0.011284867045937301,-0.08317621343139127
Hit Rate,0.6785714285714286,0.625,0.7083333333333334,0.6488095238095238,0.7083333333333334
Average Turnover,0.300982418381133,,,,
